,Date,Value
2016-09-11,9/11/16,621.65
2016-09-12,9/12/16,609.67
2016-09-13,9/13/16,610.92
2016-09-14,9/14/16,608.82
2016-09-15,9/15/16,610.38
2016-09-16,9/16/16,609.11
2016-09-17,9/17/16,607.04
2016-09-18,9/18/16,611.58
2016-09-19,9/19/16,610.19
2016-09-20,9/20/16,608.66
2016-09-21,9/21/16,598.88
2016-09-22,9/22/16,597.42
2016-09-23,9/23/16,594.08
2016-09-24,9/24/16,603.88
2016-09-25,9/25/16,601.74
2016-09-26,9/26/16,598.98
2016-09-27,9/27/16,605.96
2016-09-28,9/28/16,605.67
2016-09-29,9/29/16,603.85
2016-09-30,9/30/16,609.39
2016-10-01,10/1/16,614.82
2016-10-02,10/2/16,612.98
2016-10-03,10/3/16,611.85
2016-10-04,10/4/16,609.62
2016-10-05,10/5/16,607.18
2016-10-06,10/6/16,612.08
2016-10-07,10/7/16,617.21
2016-10-08,10/8/16,614.74
2016-10-09,10/9/16,615.65
2016-10-10,10/10/16,617.54
2016-10-11,10/11/16,614.77
2016-10-12,10/12/16,635.01
2016-10-13,10/13/16,635.96
2016-10-14,10/14/16,634.02
2016-10-15,10/15/16,637.94
2016-10-16,10/16/16,641.42
2016-10-17,10/17/16,638.97
2016-10-18,10/18/16,636.29
2016-10-19,10/19/16,629.25
2016-10-20,10/20/16,627.72
2016-10-21,10/21/16,631.92
2016-10-22,10/22/16,655.48
2016-10-23,10/23/16,653.25
2016-10-24,10/24/16,651.39
2016-10-25,10/25/16,655.31
2016-10-26,10/26/16,651.45
2016-10-27,10/27/16,682.22
2016-10-28,10/28/16,687.68
2016-10-29,10/29/16,685.91
2016-10-30,10/30/16,698.0
2016-10-31,10/31/16,702.0
2016-11-01,11/1/16,697.01
2016-11-02,11/2/16,733.33
2016-11-03,11/3/16,686.17
2016-11-04,11/4/16,683.69
2016-11-05,11/5/16,704.79
2016-11-06,11/6/16,712.0
2016-11-07,11/7/16,709.96
2016-11-08,11/8/16,708.97
2016-11-09,11/9/16,720.93
2016-11-10,11/10/16,721.5
2016-11-11,11/11/16,715.45
2016-11-12,11/12/16,703.71
2016-11-13,11/13/16,702.28
2016-11-14,11/14/16,706.46
2016-11-15,11/15/16,710.91
2016-11-16,11/16/16,711.73
2016-11-17,11/17/16,736.96
2016-11-18,11/18/16,747.52
2016-11-19,11/19/16,748.98
2016-11-20,11/20/16,729.06
2016-11-21,11/21/16,738.53
2016-11-22,11/22/16,736.97
2016-11-23,11/23/16,741.63
2016-11-24,11/24/16,737.45
2016-11-25,11/25/16,735.64
2016-11-26,11/26/16,733.67
2016-11-27,11/27/16,727.96
2016-11-28,11/28/16,727.31
2016-11-29,11/29/16,732.71
2016-11-30,11/30/16,742.69
2016-12-01,12/1/16,742.05
2016-12-02,12/2/16,772.43
2016-12-03,12/3/16,764.33
2016-12-04,12/4/16,762.97
2016-12-05,12/5/16,754.63
2016-12-06,12/6/16,756.62
2016-12-07,12/7/16,758.99
2016-12-08,12/8/16,769.72
2016-12-09,12/9/16,770.02
2016-12-10,12/10/16,769.08
2016-12-11,12/11/16,777.0
2016-12-12,12/12/16,777.0
2016-12-13,12/13/16,777.99
2016-12-14,12/14/16,774.89
2016-12-15,12/15/16,776.75
2016-12-16,12/16/16,775.88
2016-12-17,12/17/16,788.7
2016-12-18,12/18/16,788.4
2016-12-19,12/19/16,788.67
2016-12-20,12/20/16,793.09
2016-12-21,12/21/16,824.21
2016-12-22,12/22/16,834.97
2016-12-23,12/23/16,901.31
2016-12-24,12/24/16,891.61
2016-12-25,12/25/16,892.6
2016-12-26,12/26/16,897.33
2016-12-27,12/27/16,930.37
2016-12-28,12/28/16,930.34
2016-12-29,12/29/16,963.38
2016-12-30,12/30/16,952.15
2016-12-31,12/31/16,958.12
2017-01-01,1/1/17,997.72
2017-01-02,1/2/17,1015.97
2017-01-03,1/3/17,1013.42
2017-01-04,1/4/17,1126.76
2017-01-05,1/5/17,994.67
2017-01-06,1/6/17,999.65
2017-01-07,1/7/17,896.83
2017-01-08,1/8/17,908.14
2017-01-09,1/9/17,910.49
2017-01-10,1/10/17,906.05
2017-01-11,1/11/17,785.22
2017-01-12,1/12/17,780.92
2017-01-13,1/13/17,826.29
2017-01-14,1/14/17,817.91
2017-01-15,1/15/17,819.55
2017-01-16,1/16/17,830.5
2017-01-17,1/17/17,903.84
2017-01-18,1/18/17,906.6
2017-01-19,1/19/17,895.798875
2017-01-20,1/20/17,893.6210875
2017-01-21,1/21/17,895.64
2017-01-22,1/22/17,918.603625
