,Date,USD (PM)
2016-09-12,9/12/16,1324.6
2016-09-13,9/13/16,1323.65
2016-09-14,9/14/16,1321.75
2016-09-15,9/15/16,1310.8
2016-09-16,9/16/16,1308.35
2016-09-19,9/19/16,1314.85
2016-09-20,9/20/16,1313.8
2016-09-21,9/21/16,1326.1
2016-09-22,9/22/16,1339.1
2016-09-23,9/23/16,1338.65
2016-09-26,9/26/16,1340.5
2016-09-27,9/27/16,1327.0
2016-09-28,9/28/16,1322.5
2016-09-29,9/29/16,1318.1
2016-09-30,9/30/16,1322.5
2016-10-03,10/3/16,1313.3
2016-10-04,10/4/16,1283.3
2016-10-05,10/5/16,1269.4
2016-10-06,10/6/16,1254.5
2016-10-07,10/7/16,1258.75
2016-10-10,10/10/16,1259.5
2016-10-11,10/11/16,1253.45
2016-10-12,10/12/16,1256.5
2016-10-13,10/13/16,1261.05
2016-10-14,10/14/16,1251.75
2016-10-17,10/17/16,1254.8
2016-10-18,10/18/16,1258.2
2016-10-19,10/19/16,1269.05
2016-10-20,10/20/16,1271.65
2016-10-21,10/21/16,1266.05
2016-10-24,10/24/16,1265.55
2016-10-25,10/25/16,1269.4
2016-10-26,10/26/16,1270.5
2016-10-27,10/27/16,1266.25
2016-10-28,10/28/16,1273.0
2016-10-31,10/31/16,1272.0
2016-11-01,11/1/16,1288.45
2016-11-02,11/2/16,1303.75
2016-11-03,11/3/16,1301.0
2016-11-04,11/4/16,1302.8
2016-11-07,11/7/16,1283.05
2016-11-08,11/8/16,1282.35
2016-11-09,11/9/16,1281.4
2016-11-10,11/10/16,1267.5
2016-11-11,11/11/16,1236.45
2016-11-14,11/14/16,1213.6
2016-11-15,11/15/16,1226.95
2016-11-16,11/16/16,1229.2
2016-11-17,11/17/16,1226.75
2016-11-18,11/18/16,1211.0
2016-11-21,11/21/16,1214.25
2016-11-22,11/22/16,1212.25
2016-11-23,11/23/16,1185.35
2016-11-24,11/24/16,1186.1
2016-11-25,11/25/16,1187.7
2016-11-28,11/28/16,1187.0
2016-11-29,11/29/16,1186.55
2016-11-30,11/30/16,1178.1
2016-12-01,12/1/16,1161.85
2016-12-02,12/2/16,1173.5
2016-12-05,12/5/16,1162.2
2016-12-06,12/6/16,1172.5
2016-12-07,12/7/16,1177.65
2016-12-08,12/8/16,1171.05
2016-12-09,12/9/16,1163.6
2016-12-12,12/12/16,1156.1
2016-12-13,12/13/16,1158.55
2016-12-14,12/14/16,1162.25
2016-12-15,12/15/16,1126.95
2016-12-16,12/16/16,1131.6
2016-12-19,12/19/16,1136.25
2016-12-20,12/20/16,1125.7
2016-12-21,12/21/16,1133.65
2016-12-22,12/22/16,1131.35
2016-12-23,12/23/16,1132.975
2016-12-28,12/28/16,1134.6
2016-12-29,12/29/16,1145.9
2016-12-30,12/30/16,1148.45
2017-01-03,1/3/17,1151.0
2017-01-04,1/4/17,1164.25
2017-01-05,1/5/17,1176.7
2017-01-06,1/6/17,1175.85
